ct_dropoff,n_pooled,shared_ride_ids,avg_trip_distance,avg_fare_amount,avg_trip_time_in_secs,total_passengers,n_shared_rides,pooled_fraction,period_id
1011900,4,"[[285009, 1055186], [1804986, 1079404], [1078381, 1808490], [1057262, 293702]]",1.0762500000000002,6.3125,365.625,9,8,0.034782608695652174,0_00_
1012101,1,"[[278886, 2819710]]",1.545,7.25,437.5,6,2,0.008695652173913044,0_00_
1012102,2,"[[318371, 303431], [1798851, 2473710]]",1.0150000000000001,6.125,346.75,6,4,0.017391304347826087,0_00_
1012500,3,"[[1056365, 1803884], [280370, 1804675, 284240, 2821444], [278842, 1087648]]",0.7491666666666666,5.166666666666667,276.9166666666667,10,8,0.02608695652173913,0_00_
1012700,1,"[[280447, 283507]]",1.01,5.75,300.0,2,2,0.008695652173913044,0_00_
1013300,2,"[[284892, 1804705], [1793074, 2821473]]",0.885,5.375,267.5,10,4,0.017391304347826087,0_00_
1013700,3,"[[1803801, 1821455], [279332, 1804186], [317385, 317349]]",0.895,5.583333333333333,300.6666666666667,10,6,0.02608695652173913,0_00_
1013900,3,"[[278988, 2473491], [280840, 1800589], [1805091, 318962]]",1.9916666666666665,8.916666666666666,508.3333333333333,11,6,0.02608695652173913,0_00_
1014401,1,"[[280698, 278860]]",0.5249999999999999,4.0,120.0,7,2,0.008695652173913044,0_00_
1014402,1,"[[1800129, 1115575]]",4.25,16.25,1110.5,4,2,0.008695652173913044,0_00_
1014601,1,"[[292991, 293002, 1804968]]",1.7599999999999998,8.333333333333334,459.6666666666667,7,3,0.008695652173913044,0_00_
1015401,1,"[[1804192, 1057263]]",0.8,4.75,217.0,3,2,0.008695652173913044,0_00_
1017500,1,"[[323393, 1805085]]",1.85,9.0,504.5,6,2,0.008695652173913044,0_00_
1017700,1,"[[1846583, 1846808, 284931]]",0.5966666666666667,4.833333333333333,256.0,3,3,0.008695652173913044,0_00_
1019300,1,"[[309868, 292679, 1086028]]",3.483333333333333,13.5,777.6666666666666,8,3,0.008695652173913044,0_00_
1031703,1,"[[310170, 2821550]]",1.57,7.75,470.0,4,2,0.008695652173913044,0_00_
1001300,1,"[[1088249, 278837, 1056982]]",1.6933333333333334,7.5,395.6666666666667,3,3,0.02702702702702703,0_01_
1003200,1,"[[321387, 1087355]]",0.5549999999999999,4.25,165.0,7,2,0.02702702702702703,0_01_
1003400,2,"[[1805088, 1115854], [1056585, 1086714]]",1.85,9.375,579.0,5,4,0.05405405405405406,0_01_
1003601,2,"[[1819168, 1803971], [286889, 281980]]",2.245,10.75,741.75,8,4,0.05405405405405406,0_01_
1003602,1,"[[1803928, 328306]]",1.625,7.25,370.0,2,2,0.02702702702702703,0_01_
1003800,1,"[[1847069, 1863307]]",1.75,8.25,505.0,2,2,0.02702702702702703,0_01_
1004001,1,"[[1846592, 287978]]",3.5,13.75,848.5,4,2,0.02702702702702703,0_01_
1004300,1,"[[1086463, 1087200]]",1.15,6.75,370.0,2,2,0.02702702702702703,0_01_
1004900,1,"[[305817, 1872901]]",0.91,5.75,365.0,3,2,0.02702702702702703,0_01_
1005800,1,"[[279355, 281585]]",1.22,6.0,270.0,6,2,0.02702702702702703,0_01_
1006100,1,"[[1056368, 303588]]",1.2,6.0,314.0,6,2,0.02702702702702703,0_01_
1006600,1,"[[279652, 306032, 1807647]]",1.05,6.333333333333333,362.6666666666667,7,3,0.02702702702702703,0_01_
1007300,1,"[[1071681, 1086249]]",1.25,6.25,297.0,2,2,0.02702702702702703,0_01_
1007600,1,"[[294531, 293967]]",1.1,5.5,270.0,2,2,0.02702702702702703,0_01_
1008300,2,"[[323288, 1062074], [279108, 1057714]]",2.06,8.625,485.25,8,4,0.05405405405405406,0_01_
1008800,2,"[[1115586, 306485], [1056587, 1846843]]",1.23,7.0,397.75,5,4,0.05405405405405406,0_01_
1009500,1,"[[1063120, 279636]]",1.53,6.5,331.5,6,2,0.02702702702702703,0_01_
1009800,1,"[[1804020, 1803910]]",1.15,6.75,410.5,3,2,0.02702702702702703,0_01_
1010100,2,"[[1847077, 1806647], [1819159, 305073, 1872444]]",0.9183333333333333,5.416666666666666,260.5,10,5,0.05405405405405406,0_01_
1010400,1,"[[281333, 1807560]]",0.725,4.75,250.0,6,2,0.02702702702702703,0_01_
1011402,1,"[[281130, 1056984]]",1.0350000000000001,5.75,233.0,3,2,0.02702702702702703,0_01_
1012101,3,"[[305072, 1152251], [1056024, 289063], [1062303, 1803982]]",1.4716666666666667,7.583333333333333,433.6666666666667,11,6,0.08108108108108109,0_01_
1012500,2,"[[2473672, 318312], [1806656, 305598]]",1.355,7.0,398.0,11,4,0.05405405405405406,0_01_
1013100,1,"[[279324, 1846275]]",1.335,6.5,305.5,2,2,0.02702702702702703,0_01_
1013604,1,"[[305597, 306127]]",4.1899999999999995,14.75,900.0,5,2,0.02702702702702703,0_01_
1014802,1,"[[1056023, 1871392]]",1.6,8.5,524.0,4,2,0.02702702702702703,0_01_
1014900,1,"[[1071679, 1086248]]",0.7,4.75,209.0,2,2,0.02702702702702703,0_01_
1020102,1,"[[305410, 289326, 304948]]",4.473333333333334,17.166666666666668,1100.0,4,3,0.02702702702702703,0_01_
1031704,1,"[[287029, 323128]]",3.36,13.75,840.0,2,2,0.02702702702702703,0_01_
1002602,1,"[[1873215, 1118131]]",1.5,8.25,448.5,2,2,0.041666666666666664,0_02_
1003001,1,"[[1878177, 1152277]]",1.65,8.25,543.5,3,2,0.041666666666666664,0_02_
1003002,1,"[[1063828, 1807349]]",2.0,8.75,518.5,3,2,0.041666666666666664,0_02_
1003200,1,"[[1117110, 287779]]",0.72,4.5,198.5,4,2,0.041666666666666664,0_02_
1003400,1,"[[346332, 1116724]]",1.275,7.25,386.5,2,2,0.041666666666666664,0_02_
1003601,2,"[[326615, 1807343], [1063958, 1807522]]",0.855,5.375,270.75,4,4,0.08333333333333333,0_02_
1003700,3,"[[279376, 1871762], [1807341, 1088232], [1863315, 283238]]",1.4383333333333332,7.5,443.6666666666667,11,6,0.125,0_02_
1004200,1,"[[293652, 307101]]",1.5899999999999999,7.5,450.0,2,2,0.041666666666666664,0_02_
1005000,1,"[[1062890, 1115574]]",1.3,6.75,347.0,3,2,0.041666666666666664,0_02_
1006300,1,"[[294077, 1806919]]",0.8500000000000001,6.0,355.0,4,2,0.041666666666666664,0_02_
1006500,1,"[[290592, 1062206]]",1.58,8.25,527.0,5,2,0.041666666666666664,0_02_
1008300,1,"[[1871759, 362173]]",1.5,7.5,402.0,4,2,0.041666666666666664,0_02_
1009000,1,"[[347019, 297512]]",1.795,7.75,420.0,7,2,0.041666666666666664,0_02_
1009400,1,"[[1872593, 1878371, 1805044]]",0.5333333333333333,4.5,208.33333333333334,3,3,0.041666666666666664,0_02_
1010100,1,"[[290649, 1847301]]",1.025,5.25,274.0,7,2,0.041666666666666664,0_02_
1011300,1,"[[1871404, 282974]]",0.845,4.75,204.5,6,2,0.041666666666666664,0_02_
1011900,1,"[[347842, 1152491]]",1.285,6.0,280.0,9,2,0.041666666666666664,0_02_
1012500,1,"[[332301, 288293]]",2.085,9.0,480.0,6,2,0.041666666666666664,0_02_
1013700,1,"[[1808058, 1863302]]",1.3,6.5,334.0,2,2,0.041666666666666664,0_02_
1014300,1,"[[297504, 1809926]]",0.8049999999999999,5.0,231.5,6,2,0.041666666666666664,0_02_
1014602,1,"[[308070, 1152429]]",1.45,7.0,338.5,3,2,0.041666666666666664,0_02_
1003601,1,"[[312943, 312911]]",0.49,3.75,150.0,2,2,0.06666666666666667,0_03_
1003700,2,"[[1826634, 282597], [350262, 1878803]]",0.9874999999999999,7.125,492.5,10,4,0.13333333333333333,0_03_
1003800,1,"[[1878885, 365890]]",1.725,9.0,598.5,3,2,0.06666666666666667,0_03_
1006500,1,"[[335979, 281275]]",0.8300000000000001,5.25,270.0,3,2,0.06666666666666667,0_03_
1007600,1,"[[281743, 1152105]]",1.76,7.75,465.0,6,2,0.06666666666666667,0_03_
1007900,1,"[[314154, 1064027]]",1.15,6.75,384.5,6,2,0.06666666666666667,0_03_
1008300,1,"[[1152215, 1907863]]",0.4,4.0,181.5,5,2,0.06666666666666667,0_03_
1008400,1,"[[1176400, 1878381]]",2.5,11.0,692.5,4,2,0.06666666666666667,0_03_
1009000,1,"[[313439, 335700]]",1.385,7.0,360.0,2,2,0.06666666666666667,0_03_
1009200,1,"[[1878940, 1823637]]",0.8,5.5,275.0,6,2,0.06666666666666667,0_03_
1010100,1,"[[284594, 307821]]",0.685,4.25,150.0,6,2,0.06666666666666667,0_03_
1010900,1,"[[313411, 1064414]]",1.37,6.75,358.5,4,2,0.06666666666666667,0_03_
1011900,1,"[[292799, 1810295]]",1.37,6.5,288.5,2,2,0.06666666666666667,0_03_
1013700,1,"[[1879473, 1811529]]",2.5999999999999996,10.75,628.5,3,2,0.06666666666666667,0_03_
1003700,3,"[[1161465, 1819646], [1819390, 289985], [288976, 1820793]]",1.2249999999999999,6.833333333333333,378.3333333333333,9,6,0.375,0_04_
1009800,1,"[[303270, 1065351]]",1.51,7.5,430.0,2,2,0.125,0_04_
1012101,1,"[[1792070, 1161377]]",0.75,5.5,314.5,3,2,0.125,0_04_
1012500,2,"[[1819276, 1818964], [1819511, 290345]]",2.55,10.5,607.5,4,4,0.25,0_04_
1013300,1,"[[1819267, 289139]]",0.92,5.75,355.0,6,2,0.125,0_04_
1002601,1,"[[1820797, 1793854]]",2.7,11.75,811.5,3,2,0.1,0_05_
1003602,1,"[[1908546, 1065082]]",0.65,4.75,221.5,4,2,0.1,0_05_
1005400,1,"[[1804232, 299531]]",0.72,5.25,269.0,2,2,0.1,0_05_
1005800,1,"[[294573, 322935]]",0.7749999999999999,5.0,240.0,8,2,0.1,0_05_
1006500,2,"[[1819250, 1167759], [1894605, 1792032]]",1.525,8.375,625.0,9,4,0.2,0_05_
1007100,1,"[[293177, 1065083]]",0.38,3.75,113.5,2,2,0.1,0_05_
1008000,1,"[[293626, 294453]]",0.97,5.25,240.0,3,2,0.1,0_05_
1010100,1,"[[1069444, 293675]]",0.6499999999999999,4.75,191.5,7,2,0.1,0_05_
1012500,1,"[[328954, 1792172]]",0.975,6.25,381.5,4,2,0.1,0_05_
1005900,1,"[[1058922, 299263]]",0.6799999999999999,4.75,216.0,2,2,0.2,0_06_
1006500,1,"[[1074717, 298489]]",0.635,4.5,176.0,3,2,0.2,0_06_
1008300,1,"[[1794981, 1069822, 1791506]]",1.4666666666666668,7.833333333333333,475.0,8,3,0.2,0_06_
1011203,1,"[[1792120, 1804252]]",1.2999999999999998,6.5,303.0,2,2,0.2,0_06_
1013300,1,"[[1799850, 1907314]]",1.15,15.5,404.5,3,2,0.2,0_06_
1001800,1,"[[1800996, 1794964, 1796094]]",0.7999999999999999,5.666666666666667,335.0,3,3,0.14285714285714285,0_07_
1003001,1,"[[1801837, 281784]]",1.185,6.25,343.0,7,2,0.14285714285714285,0_07_
1003002,1,"[[284166, 283891]]",1.335,7.25,390.0,9,2,0.14285714285714285,0_07_
1006700,1,"[[283647, 1804544]]",1.245,6.25,374.0,6,2,0.14285714285714285,0_07_
1009100,1,"[[303457, 1801045]]",1.4500000000000002,6.5,341.5,7,2,0.14285714285714285,0_07_
1010100,1,"[[1804590, 1801353]]",0.55,4.25,140.0,6,2,0.14285714285714285,0_07_
1011300,1,"[[1792604, 283640]]",1.665,8.25,465.5,2,2,0.14285714285714285,0_07_
1010000,1,"[[1795802, 1064936]]",2.95,14.5,1020.5,4,2,0.2,0_08_
1010100,2,"[[286082, 1071768], [285665, 1795256]]",2.4050000000000002,9.75,564.25,5,4,0.4,0_08_
1012102,1,"[[1059146, 285038]]",0.53,4.5,210.5,2,2,0.2,0_08_
1012500,1,"[[1077335, 1795050, 287252]]",1.05,5.333333333333333,231.33333333333334,4,3,0.2,0_08_
1003602,1,"[[290700, 1828042]]",1.2349999999999999,6.75,340.5,8,2,0.3333333333333333,0_09_
1010100,1,"[[287106, 286928]]",1.51,7.25,360.0,2,2,0.3333333333333333,0_09_
1012101,1,"[[1808717, 1828051]]",0.75,5.0,211.0,2,2,0.3333333333333333,0_09_
1007800,1,"[[1827790, 1078673]]",1.05,6.25,295.0,2,2,0.25,0_10_
1010100,2,"[[292065, 288176], [1828640, 1808780, 292525]]",2.2891666666666666,9.625,525.6666666666667,11,5,0.5,0_10_
1010200,1,"[[1795850, 1066657]]",0.5,4.25,165.5,2,2,0.25,0_10_
1005200,1,"[[1059298, 1845527]]",0.6499999999999999,5.0,248.0,3,2,0.04,0_11_
1005502,1,"[[1828851, 1844642]]",0.7,4.75,198.5,2,2,0.04,0_11_
1006800,1,"[[1795755, 1063899]]",0.75,5.25,252.5,2,2,0.04,0_11_
1007200,1,"[[299103, 297774]]",0.505,4.0,180.0,9,2,0.04,0_11_
1008000,1,"[[1059343, 291360]]",0.9850000000000001,6.25,369.0,2,2,0.04,0_11_
1008400,1,"[[1829437, 297579]]",0.52,4.25,198.5,2,2,0.04,0_11_
1009200,1,"[[294369, 296434]]",0.64,4.75,180.0,3,2,0.04,0_11_
1009400,4,"[[1828045, 301846], [294690, 1077549], [290982, 1059795], [1845473, 1063716]]",1.02625,5.6875,290.875,14,8,0.16,0_11_
1009500,1,"[[1800883, 1072259]]",1.7,8.5,518.5,2,2,0.04,0_11_
1009800,1,"[[298320, 1799696]]",1.08,6.25,320.5,2,2,0.04,0_11_
1010100,2,"[[294759, 1065047], [296675, 296587]]",1.35,6.875,372.0,4,4,0.08,0_11_
1010400,1,"[[290991, 291364, 1065013]]",0.9166666666666666,5.333333333333333,256.0,7,3,0.04,0_11_
1010900,2,"[[298412, 1823956], [284117, 311990]]",0.9875,5.625,284.0,5,4,0.08,0_11_
1011201,1,"[[296245, 1059302]]",1.145,7.25,484.0,2,2,0.04,0_11_
1011600,1,"[[298306, 1797278]]",0.7050000000000001,4.5,214.5,2,2,0.04,0_11_
1011800,1,"[[1073691, 309510]]",2.38,10.5,610.0,3,2,0.04,0_11_
1011900,1,"[[1861613, 292407]]",0.45,3.75,140.5,2,2,0.04,0_11_
1012500,1,"[[1828789, 1063456]]",1.2,6.5,321.5,4,2,0.04,0_11_
1013700,1,"[[301548, 1064486]]",2.02,8.5,449.5,2,2,0.04,0_11_
1016300,1,"[[1809263, 1064490]]",0.6,4.25,144.0,2,2,0.04,0_11_
1002100,1,"[[1843900, 1076323, 326821]]",3.0666666666666664,12.0,721.0,4,3,0.01282051282051282,0_12_
1003900,2,"[[1813155, 291411], [1060380, 1076075]]",1.3074999999999999,6.625,336.0,8,4,0.02564102564102564,0_12_
1005000,2,"[[290232, 366140, 1077493], [310153, 284088]]",1.4024999999999999,6.833333333333334,341.16666666666663,9,5,0.02564102564102564,0_12_
1005200,1,"[[1064484, 1075125, 323732]]",0.9866666666666667,5.666666666666667,282.6666666666667,8,3,0.01282051282051282,0_12_
1005600,1,"[[1796552, 1809154]]",0.9,5.0,204.5,2,2,0.01282051282051282,0_12_
1007001,1,"[[1843632, 303007, 1824074]]",1.0066666666666666,6.333333333333333,361.3333333333333,4,3,0.01282051282051282,0_12_
1007200,1,"[[1057123, 326251]]",1.13,8.0,578.0,7,2,0.01282051282051282,0_12_
1007800,1,"[[310236, 1797282]]",1.145,7.25,467.5,2,2,0.01282051282051282,0_12_
1008000,1,"[[1799737, 1797214]]",0.8500000000000001,5.0,237.0,2,2,0.01282051282051282,0_12_
1008200,7,"[[1813419, 1066044, 1843627], [290723, 1064786], [1813153, 1076990], [1797579, 1799874, 1795773], [323585, 310042], [290230, 1800626], [1844640, 1797059]]",1.1211904761904763,6.011904761904762,314.5,17,16,0.08974358974358974,0_12_
1009200,4,"[[1845682, 1099153, 1064449, 290245], [284099, 1064689], [1797780, 1846071], [1828786, 310734, 1082344]]",1.395625,7.1875,398.6875,16,11,0.05128205128205128,0_12_
1009400,6,"[[309082, 283719], [1076119, 291903], [310238, 1812288], [1072812, 1102433], [1076891, 324507], [1031667, 1843897]]",1.1341666666666665,5.958333333333333,308.9166666666667,20,12,0.07692307692307693,0_12_
1009600,6,"[[1058862, 1072383], [1809148, 322795, 1845007, 311720], [289475, 1855534, 289123], [365770, 287298, 343669], [1809470, 284383], [1073544, 1808872]]",1.46375,7.076388888888888,390.6527777777778,24,16,0.07692307692307693,0_12_
1010000,1,"[[1075582, 289069]]",1.045,6.25,387.0,7,2,0.01282051282051282,0_12_
1010100,8,"[[1855382, 308834], [1073420, 309304], [288218, 1087779], [1844689, 1794782], [287907, 1057770], [325244, 287570], [310126, 1809341], [1844694, 1056085]]",1.535625,8.5625,437.375,21,16,0.10256410256410256,0_12_
1010200,4,"[[309305, 1797574, 1076964], [1063545, 1797065], [1797047, 1075307, 1076638], [1072463, 289957]]",1.6870833333333333,7.875,426.4583333333333,16,10,0.05128205128205128,0_12_
1010400,2,"[[289640, 1797782], [1058871, 1067395]]",1.8375,8.25,445.5,7,4,0.02564102564102564,0_12_
1010803,1,"[[328131, 1075712]]",1.575,7.5,465.5,2,2,0.01282051282051282,0_12_
1010900,1,"[[1055081, 1087535]]",0.6,4.5,222.0,2,2,0.01282051282051282,0_12_
1011202,2,"[[310896, 1799978, 295138], [1809544, 290124, 1088320]]",1.3366666666666667,6.666666666666666,346.0,11,6,0.02564102564102564,0_12_
1011402,1,"[[1797100, 1088563, 291414, 1082340]]",1.1825,6.375,331.75,4,4,0.01282051282051282,0_12_
1011600,1,"[[1087176, 287172]]",2.8049999999999997,11.5,703.0,2,2,0.01282051282051282,0_12_
1012400,1,"[[1828787, 1809574, 323806]]",0.89,6.0,375.0,7,3,0.01282051282051282,0_12_
1012500,7,"[[302331, 1063614], [1076145, 1076031], [1813378, 1801529], [1796505, 1809630], [1087914, 1797079], [311149, 310189], [1844541, 326589]]",0.8585714285714285,5.178571428571429,248.42857142857142,20,14,0.08974358974358974,0_12_
1012601,1,"[[284120, 1845559]]",0.785,5.5,288.0,6,2,0.01282051282051282,0_12_
1012700,1,"[[292511, 1087877]]",1.46,7.0,387.0,2,2,0.01282051282051282,0_12_
1013100,4,"[[1794956, 1812252], [1076312, 1813648, 289477], [1064485, 292765], [1087616, 285991, 1076699]]",1.7433333333333332,8.145833333333334,473.5416666666667,15,10,0.05128205128205128,0_12_
1013700,2,"[[1797275, 1828602], [1795899, 1076548]]",1.05,6.0,310.75,4,4,0.02564102564102564,0_12_
1013900,1,"[[1845678, 310931, 1796667]]",1.61,7.833333333333333,455.0,3,3,0.01282051282051282,0_12_
1014300,1,"[[1072268, 1855146]]",0.85,5.25,231.5,2,2,0.01282051282051282,0_12_
1014500,1,"[[288345, 290027]]",0.875,5.75,300.0,2,2,0.01282051282051282,0_12_
1015200,2,"[[302130, 1809629], [1057040, 283884]]",0.7475,5.0,237.75,8,4,0.02564102564102564,0_12_
1016800,1,"[[1813420, 1088147]]",1.0,6.0,299.0,2,2,0.01282051282051282,0_12_
1031703,1,"[[1087767, 323450]]",2.225,9.25,519.5,2,2,0.01282051282051282,0_12_
1000700,1,"[[1800550, 1062546]]",1.25,7.25,455.5,2,2,0.004975124378109453,0_13_
1001300,1,"[[291197, 1088565]]",0.815,5.25,433.0,2,2,0.004975124378109453,0_13_
1002100,2,"[[291244, 1059430], [343395, 291037]]",0.895,5.25,240.0,14,4,0.009950248756218905,0_13_
1003900,2,"[[1797556, 299981], [282709, 1082643]]",2.4775,9.5,549.75,11,4,0.009950248756218905,0_13_
1004800,1,"[[1062272, 296538]]",0.965,5.5,218.5,3,2,0.004975124378109453,0_13_
1005000,1,"[[1813230, 1796269]]",1.55,7.75,447.0,2,2,0.004975124378109453,0_13_
1005200,1,"[[1058825, 296337]]",1.81,8.25,473.5,2,2,0.004975124378109453,0_13_
1005501,1,"[[1060355, 1058399]]",2.65,10.75,654.0,2,2,0.004975124378109453,0_13_
1005600,6,"[[1806617, 295005, 1077692], [326189, 1813423, 1805779], [300590, 330321], [296947, 282838], [295410, 1806704], [300457, 1062481]]",1.4308333333333334,6.9305555555555545,369.3888888888889,22,14,0.029850746268656716,0_13_
1005800,1,"[[1057776, 323186]]",0.97,5.5,291.0,2,2,0.004975124378109453,0_13_
1005900,1,"[[300567, 300869]]",1.06,5.5,240.0,7,2,0.004975124378109453,0_13_
1006400,1,"[[289802, 296217]]",1.52,7.75,480.0,2,2,0.004975124378109453,0_13_
1006600,2,"[[1806535, 1056643], [353540, 296776]]",1.05,5.75,322.5,5,4,0.009950248756218905,0_13_
1006800,4,"[[1796442, 282290], [296641, 296646], [1068470, 352675], [300794, 291135]]",0.7025,5.0625,260.375,12,8,0.01990049751243781,0_13_
1007001,3,"[[291219, 366146, 1076303], [300812, 1844654, 1813158, 1800834], [298395, 300816]]",1.5283333333333333,7.472222222222222,430.97222222222223,20,9,0.014925373134328358,0_13_
1007200,2,"[[1059948, 1824079], [296482, 1062168]]",1.7850000000000001,8.375,482.75,5,4,0.009950248756218905,0_13_
1007400,2,"[[283098, 1807064], [290150, 1805850, 353537]]",1.4749999999999999,7.125,402.0,10,5,0.009950248756218905,0_13_
1007600,2,"[[1808263, 1805421], [967378, 365442]]",0.9925,6.125,373.75,9,4,0.009950248756218905,0_13_
1007800,1,"[[342322, 1809446]]",1.115,6.5,393.0,3,2,0.004975124378109453,0_13_
1007900,1,"[[1797373, 354447]]",1.18,6.0,352.5,3,2,0.004975124378109453,0_13_
1008000,3,"[[288644, 1797827], [1100546, 296932, 1813795], [1799415, 300713, 354230, 1796270]]",0.9355555555555556,5.708333333333333,291.0833333333333,15,9,0.014925373134328358,0_13_
