pickup_time,rides_pooled_fraction,vehicle_number_reduction,vehicle_miles_reduction,vehicle_time_reduction,pooled_passenger_fraction,avg_fare_amount_pooled,avg_fare_amount_rides,all_rides,pooled_rides,unpooled_rides,pooled_vans
2013-06-03 00:00,0.12593383137673425,0.8655282817502669,0.835576950780707,0.844186655818844,0.2657685241886099,7.008080808080808,8.273282711555307,937,244,693,118
2013-06-03 00:30,0.08167770419426049,0.9072847682119205,0.8983213793094167,0.9042178578170016,0.17990074441687345,7.3863095238095235,7.89391789593635,453,79,374,37
2013-06-03 01:00,0.07476635514018691,0.9221183800623053,0.9093318769815542,0.912767721364132,0.1558219178082192,6.697916666666667,7.478774784885895,321,49,272,24
2013-06-03 01:30,0.05859375,0.94140625,0.918172987284876,0.9243538628183681,0.1425287356321839,6.059895833333333,8.13995157384988,256,30,226,15
2013-06-03 02:00,0.03636363636363636,0.9636363636363636,0.9581141468548291,0.9618845116106491,0.06521739130434782,7.53125,8.097159358793022,220,16,204,8
2013-06-03 02:30,0.047872340425531915,0.9468085106382979,0.9304364195233392,0.9362020241756329,0.12794612794612795,6.703703703703703,8.541560351413292,188,19,169,9
2013-06-03 03:00,0.043478260869565216,0.9478260869565217,0.9309266009960772,0.9355004932909388,0.09782608695652174,7.8166666666666655,8.043376068376068,115,11,104,5
2013-06-03 03:30,0.0625,0.9285714285714286,0.9134269948277021,0.917646670626558,0.21739130434782608,6.345238095238096,7.536764705882353,112,15,97,7
2013-06-03 04:00,0.056179775280898875,0.9325842696629213,0.9408755441067687,0.944890391887375,0.09740259740259741,8.766666666666667,7.7173044217687075,89,11,78,5
2013-06-03 04:30,0.03571428571428571,0.9642857142857143,0.9539900725467737,0.9551017809390406,0.08759124087591241,6.333333333333333,7.723958333333333,84,6,78,3
2013-06-03 05:00,0.036036036036036036,0.954954954954955,0.954424090734395,0.9534961742981236,0.08982035928143713,8.166666666666666,8.236805555555556,111,9,102,4
2013-06-03 05:30,0.09187279151943463,0.9081272084805654,0.8797841496090346,0.8871101401726877,0.18337408312958436,5.921875,7.4899491094147574,283,52,231,26
2013-06-03 06:00,0.14285714285714285,0.8160714285714286,0.7911888447368705,0.7970756174006308,0.32860520094562645,7.168181508714597,7.883621787724596,560,183,377,80
2013-06-03 06:30,0.16381418092909536,0.8060309698451508,0.7803987187461577,0.7856790396235936,0.34679958027282265,7.687984831029186,8.625788997939724,1227,439,788,201
2013-06-03 07:00,0.17994579945799458,0.789159891598916,0.759155433003561,0.7663549496268028,0.39241379310344826,8.348087928038716,9.425616607676279,1845,721,1124,332
2013-06-03 07:30,0.1792452830188679,0.7786949685534591,0.7432529221918405,0.7490337518413771,0.39950248756218903,8.294802621106578,9.638126947642835,2544,1019,1525,456
2013-06-03 08:00,0.18110544884359076,0.7828302626421011,0.7409577911559311,0.7478728037314242,0.411651420317766,9.028316090193355,10.798503336820016,2551,1016,1535,462
2013-06-03 08:30,0.17332772402187632,0.7963819941102229,0.7611298546261931,0.7696219048343134,0.35353274883960806,9.760684859544348,11.320896579539315,2377,896,1481,412
2013-06-03 09:00,0.15691868758915833,0.8259629101283881,0.7888630722721276,0.796892250600788,0.33794524580512214,8.935630322007276,10.64824930686138,2103,696,1407,330
2013-06-03 09:30,0.16372315035799523,0.8124105011933174,0.7648368992833007,0.781684647268149,0.3599406528189911,8.618847037904414,10.698948195681227,2095,736,1359,343
2013-06-03 10:00,0.15294742432288902,0.822623473181094,0.7984062461703183,0.8065219592030661,0.3331103678929766,8.990550897258872,10.001986088490426,1883,622,1261,288
2013-06-03 10:30,0.14394710071210579,0.8311291963377416,0.8052778893702419,0.8138740820188087,0.29882207067575944,8.670943094629157,9.760227700506112,1966,615,1351,283
2013-06-03 11:00,0.15518239722061378,0.8326577880718008,0.8102478326415883,0.818317752703441,0.3357689631176061,8.930412452591655,9.78995654456859,1727,557,1170,268
2013-06-03 11:30,0.1590909090909091,0.8187103594080338,0.7829516620142171,0.7918863205974728,0.3515749284123449,8.246186914936915,9.764838850671131,1892,644,1248,301
2013-06-03 12:00,0.16023268112109995,0.8191433104177683,0.7817487179092236,0.7936288894608406,0.33863781031190326,8.253052887821795,9.660125652557584,1891,645,1246,303
2013-06-03 12:30,0.15893333333333334,0.8208,0.7864167152958096,0.7950974721755287,0.343811394891945,8.440573451602864,9.842078286478106,1875,634,1241,298
2013-06-03 13:00,0.15271493212669685,0.8274886877828054,0.7990399985478945,0.8079409852663041,0.34041811846689896,8.436549567743764,9.582252074773105,1768,575,1193,270
2013-06-03 13:30,0.15165394402035623,0.8269720101781171,0.7967655183040278,0.8084987128338025,0.3215366001209921,8.139367030965392,9.193739161449358,1965,638,1327,298
2013-06-03 14:00,0.15279138099902057,0.8237022526934378,0.7901550377029031,0.8013966781537853,0.33101851851851855,8.088676736868885,9.419079819887155,2042,672,1370,312
2013-06-03 14:30,0.16717590571802707,0.7992143168921868,0.7597535807627348,0.7730165559468797,0.3678714859437751,8.206682553006958,9.662922691985763,2291,843,1448,383
2013-06-03 15:00,0.1565523306948109,0.8240985048372911,0.7925804034855398,0.7995237523286597,0.3356607189035428,8.31333028083028,9.52730007711967,2274,756,1518,356
2013-06-03 15:30,0.15446768060836502,0.8236692015209125,0.7941704591032769,0.8006966434451304,0.3288163716814159,8.224903208121713,9.45114198975714,2104,696,1408,325
2013-06-03 16:00,0.15544041450777202,0.8212435233160622,0.7902331975588694,0.8014015426778238,0.3276918587686023,8.239595103578155,9.388301376659182,1930,645,1285,300
2013-06-03 16:30,0.15343057806591032,0.8249594813614263,0.786850651421119,0.7988683264197524,0.3201248049921997,8.005133219954649,9.526791075780801,1851,608,1243,284
2013-06-03 17:00,0.1661392405063291,0.8136867088607594,0.7813267308655476,0.7880850529092772,0.34223587804301586,8.536626824262694,9.867825266732142,2528,891,1637,420
2013-06-03 17:30,0.17523680649526388,0.8024357239512855,0.7670397915300499,0.7745222050727278,0.37214342001576045,8.29496586829176,9.630164717706972,2956,1102,1854,518
2013-06-03 18:00,0.15869565217391304,0.822463768115942,0.7819755503632588,0.7939724860934119,0.3346328784925276,8.158242284254609,9.789274780725503,2760,928,1832,438
2013-06-03 18:30,0.1648590021691974,0.8156182212581344,0.7836931459091273,0.7943824247562233,0.3564204045734389,8.54291224472615,9.778752030817389,2766,966,1800,456
2013-06-03 19:00,0.1771080257365391,0.7954622417880122,0.7636776513452986,0.7726043393976103,0.3822825219473264,8.082785599389098,9.190713534470078,2953,1127,1826,523
2013-06-03 19:30,0.17384731670445955,0.798941798941799,0.771637917122389,0.7786284307972188,0.3830024537140308,7.807608687848791,8.708231186002338,2646,992,1654,460
2013-06-03 20:00,0.17399920729290527,0.8030122869599683,0.7741507727801407,0.7785352039792439,0.3742198751800288,7.735710062365899,8.750707865038954,2523,936,1587,439
2013-06-03 20:30,0.15388046387154328,0.8291703835860839,0.7997690575679829,0.8047387382428561,0.32297650130548305,7.807549297366108,9.036065585442005,2242,728,1514,345
2013-06-03 21:00,0.16919540229885058,0.8110344827586207,0.7930390199843751,0.8030109893023077,0.3581395348837209,8.278428978428979,8.801358377344371,2175,779,1396,368
2013-06-03 21:30,0.17387218045112782,0.8035714285714286,0.7829883955015174,0.7903515008174058,0.36845023565289714,8.357499828214113,9.062551753169233,2128,788,1340,370
2013-06-03 22:00,0.15173172072567345,0.8367234744365035,0.8131787280856023,0.8205287568698482,0.3274478330658106,8.145301256613756,9.108058831194981,1819,573,1246,276
2013-06-03 22:30,0.14399023794996949,0.8401464307504576,0.8100056694561849,0.8204712350847424,0.30994575045207956,7.716582521347373,8.894314503027347,1639,498,1141,236
2013-06-03 23:00,0.1475037821482602,0.8366111951588502,0.813789210246692,0.8237888651138227,0.3224341507720254,8.00298721340388,8.859821315365481,1322,411,911,195
2013-06-03 23:30,0.1303921568627451,0.8578431372549019,0.8371265463829975,0.8472545701270449,0.26259632483698875,7.695768229166667,8.471805508365765,1020,278,742,133
2013-06-04 00:00,0.12,0.8709677419354839,0.8606794429959428,0.8655866306798772,0.23982235381199113,7.863484848484848,8.302556318035968,775,193,582,93
2013-06-04 00:30,0.0936936936936937,0.9045045045045045,0.9112637267543789,0.9169804916555314,0.19719827586206898,8.529936974789917,8.053155554473163,555,105,450,52
2013-06-04 01:00,0.10098522167487685,0.8891625615763546,0.8782463290766586,0.8812602529940389,0.23333333333333334,7.901785714285714,8.54569584484268,406,86,320,41
2013-06-04 01:30,0.07462686567164178,0.9253731343283582,0.9184758379238233,0.9205850197314199,0.16933638443935928,7.25,7.862286263392458,268,40,228,20
